validation/loss,validation/accuracy,validation/learning rate,step,training/loss,training/accuracy,training/learning rate
0.7694253325462341,0.6560714244842529,0.0005000000237487257,0.0,,,
,,,0.0,0.8818467855453491,0.5878571271896362,0.0005000000237487257
0.7328070998191833,0.6732142567634583,0.0005000000237487257,1.0,,,
,,,1.0,0.7972941994667053,0.6416071057319641,0.0005000000237487257
0.7103168964385986,0.6850000023841858,0.0005000000237487257,2.0,,,
,,,2.0,0.7663416266441345,0.6548214554786682,0.0005000000237487257
0.6934753656387329,0.6928571462631226,0.0005000000237487257,3.0,,,
,,,3.0,0.7442455887794495,0.6689285635948181,0.0005000000237487257
0.6796755790710449,0.7003571391105652,0.0005000000237487257,4.0,,,
,,,4.0,0.7266142964363098,0.676964282989502,0.0005000000237487257
0.6677467226982117,0.7042856812477112,0.0005000000237487257,5.0,,,
,,,5.0,0.7117965817451477,0.6848214268684387,0.0005000000237487257
0.6571003198623657,0.7100000381469727,0.0005000000237487257,6.0,,,
,,,6.0,0.6989290118217468,0.6916071772575378,0.0005000000237487257
0.6474226117134094,0.7171428799629211,0.0005000000237487257,7.0,,,
,,,7.0,0.6874979138374329,0.6976785659790039,0.0005000000237487257
0.6385331153869629,0.724642813205719,0.0005000000237487257,8.0,,,
,,,8.0,0.6771751642227173,0.7012500166893005,0.0005000000237487257
0.630312442779541,0.7287499904632568,0.0005000000237487257,9.0,,,
,,,9.0,0.6677383184432983,0.7057142853736877,0.0005000000237487257
